1871-12-01,2.773,1.025,Sheffield,United Kingdom,53.84N,1.36W
1872-01-01,3.5460000000000003,2.176,Sheffield,United Kingdom,53.84N,1.36W
1872-02-01,5.455,1.2409999999999999,Sheffield,United Kingdom,53.84N,1.36W
1872-03-01,6.12,0.758,Sheffield,United Kingdom,53.84N,1.36W
1872-04-01,7.769,1.409,Sheffield,United Kingdom,53.84N,1.36W
1872-05-01,9.586,1.081,Sheffield,United Kingdom,53.84N,1.36W
1872-06-01,14.09,0.826,Sheffield,United Kingdom,53.84N,1.36W
1872-07-01,16.692,0.986,Sheffield,United Kingdom,53.84N,1.36W
1872-08-01,14.95,1.068,Sheffield,United Kingdom,53.84N,1.36W
1872-09-01,12.538,0.489,Sheffield,United Kingdom,53.84N,1.36W
1872-10-01,7.516,0.5920000000000001,Sheffield,United Kingdom,53.84N,1.36W
1872-11-01,5.6610000000000005,0.685,Sheffield,United Kingdom,53.84N,1.36W
1872-12-01,3.697,1.965,Sheffield,United Kingdom,53.84N,1.36W
1873-01-01,3.988,1.175,Sheffield,United Kingdom,53.84N,1.36W
1873-02-01,1.4329999999999998,1.031,Sheffield,United Kingdom,53.84N,1.36W
1873-03-01,4.465999999999998,0.965,Sheffield,United Kingdom,53.84N,1.36W
1873-04-01,7.067,1.1909999999999998,Sheffield,United Kingdom,53.84N,1.36W
1873-05-01,9.361,0.604,Sheffield,United Kingdom,53.84N,1.36W
1873-06-01,14.378,0.773,Sheffield,United Kingdom,53.84N,1.36W
1873-07-01,16.389,0.904,Sheffield,United Kingdom,53.84N,1.36W
1873-08-01,15.215,0.4,Sheffield,United Kingdom,53.84N,1.36W
1873-09-01,11.318,0.8009999999999999,Sheffield,United Kingdom,53.84N,1.36W
1873-10-01,7.426,0.627,Sheffield,United Kingdom,53.84N,1.36W
1873-11-01,5.412000000000001,0.299,Sheffield,United Kingdom,53.84N,1.36W
1873-12-01,4.325,0.932,Sheffield,United Kingdom,53.84N,1.36W
1874-01-01,4.291,1.374,Sheffield,United Kingdom,53.84N,1.36W
1874-02-01,3.055,0.731,Sheffield,United Kingdom,53.84N,1.36W
1874-03-01,6.254,1.192,Sheffield,United Kingdom,53.84N,1.36W
1874-04-01,8.85,0.5,Sheffield,United Kingdom,53.84N,1.36W
1874-05-01,9.245,0.534,Sheffield,United Kingdom,53.84N,1.36W
1874-06-01,13.626,0.958,Sheffield,United Kingdom,53.84N,1.36W
1874-07-01,16.673,0.609,Sheffield,United Kingdom,53.84N,1.36W
1874-08-01,14.526,0.409,Sheffield,United Kingdom,53.84N,1.36W
1874-09-01,12.927,0.419,Sheffield,United Kingdom,53.84N,1.36W
1874-10-01,9.318,0.524,Sheffield,United Kingdom,53.84N,1.36W
1874-11-01,4.689,0.612,Sheffield,United Kingdom,53.84N,1.36W
1874-12-01,-0.8110000000000004,0.84,Sheffield,United Kingdom,53.84N,1.36W
1875-01-01,4.571000000000001,0.757,Sheffield,United Kingdom,53.84N,1.36W
1875-02-01,1.833,0.915,Sheffield,United Kingdom,53.84N,1.36W
1875-03-01,4.428,0.647,Sheffield,United Kingdom,53.84N,1.36W
1875-04-01,7.776,0.622,Sheffield,United Kingdom,53.84N,1.36W
1875-05-01,11.601,0.569,Sheffield,United Kingdom,53.84N,1.36W
1875-06-01,13.804,0.961,Sheffield,United Kingdom,53.84N,1.36W
1875-07-01,14.65,0.731,Sheffield,United Kingdom,53.84N,1.36W
1875-08-01,15.788,0.408,Sheffield,United Kingdom,53.84N,1.36W
1875-09-01,14.026,0.297,Sheffield,United Kingdom,53.84N,1.36W
1875-10-01,8.297,0.484,Sheffield,United Kingdom,53.84N,1.36W
1875-11-01,4.399,0.433,Sheffield,United Kingdom,53.84N,1.36W
1875-12-01,3.016,0.42200000000000004,Sheffield,United Kingdom,53.84N,1.36W
1876-01-01,2.247,0.5760000000000001,Sheffield,United Kingdom,53.84N,1.36W
1876-02-01,3.9930000000000003,0.659,Sheffield,United Kingdom,53.84N,1.36W
1876-03-01,3.989,1.537,Sheffield,United Kingdom,53.84N,1.36W
1876-04-01,7.387,0.77,Sheffield,United Kingdom,53.84N,1.36W
1876-05-01,9.377,0.7290000000000001,Sheffield,United Kingdom,53.84N,1.36W
1876-06-01,13.879000000000001,0.792,Sheffield,United Kingdom,53.84N,1.36W
1876-07-01,16.832,0.64,Sheffield,United Kingdom,53.84N,1.36W
1876-08-01,15.602,0.5760000000000001,Sheffield,United Kingdom,53.84N,1.36W
1876-09-01,12.067,0.88,Sheffield,United Kingdom,53.84N,1.36W
1876-10-01,10.252,0.6859999999999999,Sheffield,United Kingdom,53.84N,1.36W
1876-11-01,5.021,0.976,Sheffield,United Kingdom,53.84N,1.36W
1876-12-01,4.461,1.2409999999999999,Sheffield,United Kingdom,53.84N,1.36W
1877-01-01,4.0569999999999995,1.43,Sheffield,United Kingdom,53.84N,1.36W
1877-02-01,5.196000000000001,1.392,Sheffield,United Kingdom,53.84N,1.36W
1877-03-01,3.994,0.4,Sheffield,United Kingdom,53.84N,1.36W
1877-04-01,6.02,1.1340000000000001,Sheffield,United Kingdom,53.84N,1.36W
